Name,Postcode
Sydney,2000
Ultimo,2007
Chippendale,2008
Pyrmont,2009
Surry Hills,2010
Kings Cross,2011
Alexandria,2015
Redfern,2016
Waterloo,2017
Rosebery,2018
Botany,2019
Mascot,2020
Paddington,2021
Bondi Junction,2022
Bellevue Hill,2023
Waverley,2024
Woollahra,2025
Bondi,2026
Edgecliff,2027
Double Bay,2028
Rose Bay,2029
Vaucluse,2030
Randwick,2031
Kingsford,2032
Kensington,2033
Coogee,2034
Pagewood,2035
Matraville,2036
Glebe,2037
Annandale,2038
Rozelle,2039
Leichhardt,2040
Balmain,2041
Newtown,2042
Erskineville,2043
St Peters,2044
Haberfield,2045
Five Dock,2046
Drummoyne,2047
Stanmore,2048
Petersham,2049
Camperdown,2050
North Sydney,2060
Milsons Point,2061
Cammeray,2062
Northbridge,2063
Artarmon,2064
Crows Nest,2065
Lane Cove,2066
Chatswood,2067
Willoughby,2068
Roseville,2069
Lindfield,2070
Killara,2071
Gordon,2072
Pymble,2073
Turramurra,2074
St Ives,2075
Wahroona,2076
Hornsby,2077
Mount Colah,2079
Mount Kuring-gai,2080
Berowra Waters,2082
Terrey Hills,2084
Belrose,2085
Frenchs Forest,2086
Forestville,2087
Mosman,2088
Neutral Bay,2089
Cremorne,2090
Seaforth,2092
Balgowlah,2093
Manly,2095
Harbord,2096
Collaroy,2097
Dee Why,2099
Brookvale,2100
Narrabeen,2101
Warriewood,2102
Mona Vale,2103
Bayview,2104
Newport,2106
Avalon,2107
Hunters Hill,2110
Gladesville,2111
Ryde,2112
North Ryde,2113
Meadowbank,2114
Ermington,2115
Rydalmere,2116
Telopea,2117
Carlingford,2118
Beecroft,2119
Pennant Hills,2120
Epping,2121
Eastwood,2122
W. Pennant Hills,2125
Cherrybrook,2126
Homebush Bay,2127
Silverwater,2128
Sydney Markets,2129
Summer Hill,2130
Ashfield,2131
Croydon,2132
Croydon Park,2133
Burwood,2134
Strathfield,2135
Enfield,2136
Concord,2137
Rhodes,2138
Homebush,2140
Lidcombe,2141
Granville,2142
Regents Park,2143
Auburn,2144
Wentworthville,2145
Toongabbie,2146
Seven Hills,2147
Blacktown,2148
Parramatta,2150
North Rocks,2151
Northmead,2152
Baulkham Hills,2153
Castle Hill,2154
Kellyville,2155
Kenthurst,2156
Glenorie,2157
Dural,2158
Galston,2159
Merrylands,2160
Yennora,2161
Chester Hill,2162
Villawood,2163
Smithfield/W.Park,2164
Fairfield,2165
Lansvale,2166
Liverpool,2170
Hoxton Park,2171
St Johns Park,2176
Chullora,2190
Belfield,2191
Belmore,2192
Canterbury,2193
Campsie,2194
Lakemba,2195
Punchbowl,2196
Georges Hall,2198
Yagoona,2199
Bankstown,2200
Dulwich Hill,2203
Marrickville,2204
Arncliffe,2205
Earlwood,2206
Bexley,2207
Kingsgrove,2208
Beverly Hills,2209
Peakhurst,2210
Padstow,2211
Revesby,2212
East Hills,2213
Milperra,2214
Rockdale,2216
Kogarah,2217
Carlton,2218
Sans Souci,2219
Hurstville,2220
Blakehurst,2221
Penshurst,2222
Mortdale,2223
Sylvania,2224
Oyster Bay,2225
Jannali,2226
Gymea,2227
Miranda,2228
Caringbah,2229
Cronulla,2230
Kurnell,2231
Sutherland,2232
Heathcote,2233
Menai,2234
Campbelltown,2560
Ingleburn,2565
Minto,2566
Narellan,2567
Camden,2570
Mulgoa,2745
Kingswood,2747
Castlereagh,2749
Penrith,2750
Silverdale,2752
Richmond,2753
North Richmond,2754
Windsor,2756
Kurrajong,2758
Erskine Park,2759
St Marys,2760
Glendenning,2761
Quakers Hill,2763
Riverstone,2765
Rooty Hill,2766
Parklea,2768
Minchinbury,2770
