id,postcode,suburb,state,latitude,longitude
"398","1001","Sydney","NSW","-33.790","151.270"
"399","1002","Sydney","NSW","-33.790","151.270"
"400","1003","Sydney","NSW","-33.790","151.270"
"401","1004","Sydney","NSW","-33.790","151.270"
"402","1005","Sydney","NSW","-33.790","151.270"
"403","1006","Sydney","NSW","-33.790","151.270"
"404","1007","Sydney","NSW","-33.790","151.270"
"405","1008","Sydney","NSW","-33.790","151.270"
"406","1009","Sydney","NSW","-33.790","151.270"
"407","1010","Sydney","NSW","-33.790","151.270"
"408","1011","Sydney","NSW","-33.790","151.270"
"409","1020","Sydney","NSW","-33.790","151.270"
"410","1021","Sydney","NSW","-33.790","151.270"
"411","1022","Sydney","NSW","-33.790","151.270"
"412","1023","Sydney","NSW","-33.790","151.270"
"413","1025","Sydney","NSW","-33.790","151.270"
"414","1026","Sydney","NSW","-33.790","151.270"
"415","1027","Sydney","NSW","-33.790","151.270"
"416","1028","Sydney","NSW","-33.790","151.270"
"417","1029","Sydney","NSW","-33.790","151.270"
"418","1030","Sydney","NSW","-33.790","151.270"
"419","1031","Sydney","NSW","-33.790","151.270"
"420","1032","Sydney","NSW","-33.660","150.870"
"421","1033","Sydney","NSW","-33.790","151.270"
"422","1034","Sydney","NSW","-33.790","151.270"
"423","1035","Sydney","NSW","-33.790","151.270"
"424","1036","Sydney","NSW","-33.790","151.270"
"425","1037","Sydney","NSW","-33.790","151.270"
"426","1038","Sydney","NSW","-33.790","151.270"
"427","1039","Sydney","NSW","-33.790","151.270"
"428","1040","Sydney","NSW","-33.790","151.270"
"429","1041","Sydney","NSW","-33.790","151.270"
"430","1042","Sydney","NSW","-33.790","151.270"
"431","1043","Sydney","NSW","-33.790","151.270"
"432","1044","Sydney","NSW","-33.790","151.270"
"433","1045","Sydney","NSW","-33.790","151.270"
"434","1046","Sydney","NSW","-33.790","151.270"
"435","1100","Sydney","NSW","-33.790","151.270"
"436","1101","Sydney","NSW","-33.790","151.270"
"437","1105","Sydney","NSW","-33.790","151.270"
"438","1106","Sydney","NSW","-33.790","151.270"
"439","1107","Sydney","NSW","-33.790","151.270"
"440","1108","Sydney","NSW","-33.790","151.270"
"441","1109","Sydney","NSW","-33.790","151.270"
"442","1110","Sydney","NSW","-33.790","151.270"
"443","1112","Sydney","NSW","-33.790","151.270"
"444","1113","Sydney","NSW","-33.790","151.270"
